geo_id,metro_name,state,PC1,PC2,PC3,median_income
10420,"Akron, OH",Ohio,-9.873336934,-33.48403425,0.684477885,57285
11380,"Andrews, TX",Texas,-1.119065205,-33.73467969,2.595943739,76158
43700,"Somerset, KY",Kentucky,-1.539621541,-31.98851328,0.586958364,39998
10820,"Alexandria, MN",Minnesota,-1.395154147,-33.88609514,2.906292664,63819
36460,"Olean, NY",New York,-1.728246463,-31.70551652,0.711445843,48703
49100,"Winona, MN",Minnesota,-1.509083862,-32.96808483,1.995643663,59329
15500,"Burlington, NC",North Carolina,-2.934057146,-33.09345076,1.262244055,49688
42980,"Seymour, IN",Indiana,-1.302476766,-32.36198997,1.352419858,51250
48220,"Weatherford, OK",Oklahoma,-1.176955908,-32.42423785,1.212990379,49900
34740,"Muskegon-Norton Shores, MI",Michigan,-2.908685479,-32.43960405,0.876617987,50854
39980,"Richmond, IN",Indiana,-1.580563026,-31.65993891,0.893531367,46516
13900,"Bismarck, ND",North Dakota,-2.697359035,-35.09451411,3.1508621,71398
13340,"Bellefontaine, OH",Ohio,-1.343834183,-32.41837879,1.617340251,56754
10300,"Adrian, MI",Michigan,-1.99919762,-32.61527202,1.578807411,55450
45820,"Topeka, KS",Kansas,-3.762113779,-33.04414812,1.29840917,57603
21780,"Evansville, IN",Indiana,-4.834666747,-33.04361843,0.964628491,54063
30780,"Little Rock-North Little Rock-Conway, AR",Arkansas,-10.31060592,-34.37623616,-0.428232363,54746
43180,"Shelbyville, TN",Tennessee,-1.376089055,-32.71400234,1.47648848,50415
31620,"Magnolia, AR",Arkansas,-0.98892542,-31.23405379,0.19089456,36193
13740,"Billings, MT",Montana,-3.309176698,-34.64464248,2.41849558,61278
13140,"Beaumont-Port Arthur, TX",Texas,-5.745796056,-33.26982862,0.314681082,54016
39700,"Raymondville, TX",Texas,-0.872763316,-30.82074979,-0.277676316,35521
25900,"Hilo-Kailua, HI",Hawaii,-3.721063214,-36.11797035,4.45359407,62409
26300,"Hot Springs, AR",Arkansas,-2.093818463,-32.61519184,1.202996266,44777
21500,"Erie, PA",Pennsylvania,-4.309071489,-32.47428074,1.004183722,51529
15820,"Campbellsville, KY",Kentucky,-1.173577532,-31.64895894,0.598609672,41514
30260,"Lewisburg, PA",Pennsylvania,-1.397712604,-33.12951719,2.223152142,59399
19100,"Dallas-Fort Worth-Arlington, TX",Texas,-92.52762421,-43.61146927,-14.17825521,70281
